漢字,漢字　県名入,ひらがな,English,標高,都道府県,エリア,緯度,経度,近くの町,,,,,
白神山地 二ツ森,白神山地 二ツ森　　秋田県,しらかみさんち ふたつもり,Shirakamisanti Futatsumori,1086 ,秋田県,東北,40.4349866,140.1180557,藤里町,,,,,
寒風山,寒風山　　秋田県,かんぷうざん,Kanpuuzan,355 ,秋田県,東北,39.933611,139.875278,男鹿市,,,,,
 薬師岳,薬師岳　　秋田県,やくしだけ,Yakushidake,1218 ,秋田県,東北,39.554711,140.72967,大仙市,,,,,
蔵王ロープウェイ山麓駅,蔵王ロープウェイ山麓駅　　山形県,ざおうろーぷうぇいさんろくえき,Zaou Ropeway Sanroku station,848 ,山形県,東北,38.161694,140.39514,山形市,,,,,
羽黒山,羽黒山　　山形県,はぐろさん,Hagurosan,414 ,山形県,東北,38.7024703,139.9829184,鶴岡市,,,,,
月山,月山　　山形県,がっさん,Gassan,1984 ,山形県,東北,38.548889,140.026944,西川町,,,,,
鳥海ブルーライン,鳥海ブルーライン　　山形県,ちょうかいぶるーらいん,Choukai Blue line,1017 ,山形県,東北,39.106555,139.979164,遊佐町,,,,,
鳥海山,鳥海山　　山形県,ちょうかいさん,Choukaisan,2236 ,山形県,東北,39.0991645,140.0508333,遊佐町,,,,,
大朝日岳,大朝日岳　　山形県,おおあさひだけ,Ooasahidake,1870 ,山形県,東北,38.2605688,139.922205,朝日町,,,,,
祝瓶山,祝瓶山　　山形県,いわいがめやま,Iwaigameyama,1417 ,山形県,東北,38.1976409,139.8795394,長井市,,,,,
船形山（御所山）,船形山（御所山）　　山形県,ふながたやま（ごしょざん）,Funagatayama (Gsyozan),1500 ,山形県,東北,38.455556,140.620083,尾花沢市,,,,,
面白山,面白山　　山形県,おもしろやま,Omoshiroyama,1264 ,山形県,東北,38.3488815,140.5219444,山形市,,,,,
禿岳,禿岳　　山形県,かむろだけ,Kamurodake,1262 ,山形県,東北,38.8110084,140.5951015,最上町,,,,,
倉手山,倉手山　　山形県,くらてやま,Kurateyama,952 ,山形県,東北,37.937463,139.6732901,小国町,,,,,
寒江山,寒江山　　山形県,かんこうざん,kankouzan,1695 ,山形県,東北,38.3064922,139.8790595,西川町,,,,,
以東岳,以東岳　　山形県,いとうだけ,Itoudake,1771 ,山形県,東北,38.342844,139.848926,鶴岡市,,,,,
葉山,葉山　　山形県,はやま,Hayama,1462 ,山形県,東北,38.5293212,140.2104867,寒河江市,,,,,
湯殿山,湯殿山　　山形県,ゆどのさん,Yudonosan,1500 ,山形県,東北,38.530833,139.984722,鶴岡市,,,,,
神室山,神室山　　山形県,かむろさん,Kamurosan,1365 ,山形県,東北,38.899444,140.495833,金山町,,,,,
瀧山,瀧山　　山形県,りゅうざん,Ryuuzan,1362 ,山形県,東北,38.183028,140.3948722,山形市,,,,,
雁戸山,雁戸山　　山形県,がんどさん,Gandosan,1485 ,山形県,東北,38.1994988,140.4774683,山形市,,,,,
天狗角力取山,天狗角力取山　　山形県,てんぐすもうとりやま,Tengusumoutoriyama,1376 ,山形県,東北,38.362699,139.913592,西川町,,,,,
障子ヶ岳,障子ヶ岳　　山形県,しょうじがたけ,Syoujigatake,1482 ,山形県,東北,38.380977,139.910803,西川町,,,,,
蔵王連峰(熊野岳),蔵王連峰(熊野岳)　　山形県,くまのだけ,Kumanodake,1841 ,山形県,東北,38.143861,140.439857,山形市,,,,,
東大巓,東大巓　　山形県,ひがしだいてん,Higashidaiten,1928 ,山形県,東北,37.7545723,140.1884736,米沢市,,,,,
栂峰,栂峰　　山形県,つがみね,Tsugamine,1541 ,山形県,東北,37.8286726,139.9376353,米沢市,,,,,
摩耶山,摩耶山　　山形県,まやさん,Mayasan,1020 ,山形県,東北,38.520585,139.728025,鶴岡市,,,,,
